rank,title,citations,downloads,article_type,top %
265,MACA: Memory-aided Coarse-to-fine Alignment for Text-based Person Search,1,112,short-paper,68.12
268,MTMS: Multi-teacher Multi-stage Knowledge Distillation for Reasoning-Based Machine Reading Comprehension,0,111,research-article,68.89
269,SLH-BIA: Short-Long Hawkes Process for Buy It Again Recommendations at Scale,0,110,short-paper,69.15
269,RLStop: A Reinforcement Learning Stopping Method for TAR,0,110,short-paper,69.15
269,BRB-KMeans: Enhancing Binary Data Clustering for Binary Product Quantization,0,110,short-paper,69.15
269,AutoDCS: Automated Decision Chain Selection in Deep Recommender Systems,0,110,research-article,69.15
273,Relevance Feedback Method For Patent Searching Using Vector Subspaces,0,109,short-paper,70.18
273,Graded Relevance Scoring of Written Essays with Dense Retrieval,0,109,research-article,70.18
273,Memory-Efficient Deep Recommender Systems using Approximate Rotary Compositional Embedding,0,109,short-paper,70.18
276,YAGO 4.5: A Large and Clean Knowledge Base with a Rich Taxonomy,0,108,research-article,70.95
276,GUITAR: Gradient Pruning toward Fast Neural Ranking,0,108,research-article,70.95
276,EASE-DR: Enhanced Sentence Embeddings for Dense Retrieval,0,108,short-paper,70.95
279,Counterfactual Augmentation for Robust Authorship Representation Learning,0,107,short-paper,71.72
280,Course Recommender Systems Need to Consider the Job Market,0,106,research-article,71.98
280,Uncontextualized significance considered dangerous,0,106,research-article,71.98
282,Fair Recommendations with Limited Sensitive Attributes: A Distributionally Robust Optimization Approach,0,104,research-article,72.49
283,Enhancing Task Performance in Continual Instruction Fine-tuning Through Format Uniformity,0,101,short-paper,72.75
283,Improving the Accuracy of Locally Differentially Private Community Detection by Order-consistent Data Perturbation,0,101,research-article,72.75
285,Language Fairness in Multilingual Information Retrieval,0,100,short-paper,73.26
285,Instruction-based Hypergraph Pretraining,0,100,research-article,73.26
285,The Surprising Effectiveness of Rankers trained on Expanded Queries,0,100,short-paper,73.26
288,Boosting Conversational Question Answering with Fine-Grained Retrieval-Augmentation and Self-Check,0,99,short-paper,74.04
288,CIRAL: A Test Collection for CLIR Evaluations in African Languages,0,99,research-article,74.04
290,ScienceDirect Topic Pages: A Knowledge Base of Scientific Concepts Across Various Science Domains,0,97,short-paper,74.55
290,TriviaHG: A Dataset for Automatic Hint Generation from Factoid Questions,0,97,research-article,74.55
290,Optimizing E-commerce Search: Toward a Generalizable and Rank-Consistent Pre-Ranking Model,0,97,short-paper,74.55
290,QuanTemp: A real-world open-domain benchmark for fact-checking numerical claims,1,97,research-article,74.55
294,Browsing and Searching Metadata of TREC,0,96,research-article,75.58
294,To Search or to Recommend: Predicting Open-App Motivation with Neural Hawkes Process,0,96,research-article,75.58
296,CoSearchAgent: A Lightweight Collaborative Search Agent with Large Language Models,0,95,short-paper,76.09
296,A Taxation Perspective for Fair Re-ranking,0,95,research-article,76.09
296,The Treatment of Ties in Rank-Biased Overlap,0,95,research-article,76.09
299,I3: Intent-Introspective Retrieval Conditioned on Instructions,0,94,research-article,76.86
299,CaDRec: Contextualized and Debiased Recommender Model,0,94,research-article,76.86
301,Poisoning Decentralized Collaborative Recommender System and Its Countermeasures,4,93,research-article,77.38
